Name,Lower,Upper,Duration,Aborted,RefineCluster,CompileCluster,Binary,Solver,Width,Gap,Objective
knapPI_2_2000_1000_1,             -9223372036854775808,             883103,             2.499,            false,             false,            false,            false,            TD,            200,            1.000,            -1
f3_l-d_kp_4_20,             35,             35,             0.000,            false,             false,            false,            false,            TD,            200,            0.000,            35
f8_l-d_kp_23_10000,             9767,             14929,             0.011,            false,             false,            false,            false,            TD,            200,            0.346,            9767
knapPI_1_500_1000_1,             -9223372036854775808,             115117,             0.494,            false,             false,            false,            false,            TD,            200,            1.000,            -1
knapPI_1_2000_1000_1,             -9223372036854775808,             884480,             2.768,            false,             false,            false,            false,            TD,            200,            1.000,            -1
knapPI_3_100_1000_1,             -9223372036854775808,             5080,             0.045,            false,             false,            false,            false,            TD,            200,            1.000,            -1
f10_l-d_kp_20_879,             1025,             1025,             0.004,            false,             false,            false,            false,            TD,            200,            0.000,            1025
f7_l-d_kp_7_50,             107,             107,             0.000,            false,             false,            false,            false,            TD,            200,            0.000,            107
knapPI_2_200_1000_1,             1634,             1634,             0.124,            false,             false,            false,            false,            TD,            200,            0.000,            1634
knapPI_1_1000_1000_1,             -9223372036854775808,             363880,             1.506,            false,             false,            false,            false,            TD,            200,            1.000,            -1
knapPI_3_2000_1000_1,             -9223372036854775808,             813801,             2.207,            false,             false,            false,            false,            TD,            200,            1.000,            -1
f9_l-d_kp_5_80,             130,             130,             0.003,            false,             false,            false,            false,            TD,            200,            0.000,            130
knapPI_1_100_1000_1,             9147,             9147,             0.018,            false,             false,            false,            false,            TD,            200,            0.000,            9147
f6_l-d_kp_10_60,             52,             52,             0.001,            false,             false,            false,            false,            TD,            200,            0.000,            52
f1_l-d_kp_10_269,             295,             295,             0.001,            false,             false,            false,            false,            TD,            200,            0.000,            295
knapPI_3_1000_1000_1,             -9223372036854775808,             265321,             1.037,            false,             false,            false,            false,            TD,            200,            1.000,            -1
f4_l-d_kp_4_11,             23,             23,             0.000,            false,             false,            false,            false,            TD,            200,            0.000,            23
knapPI_3_200_1000_1,             -9223372036854775808,             9187,             0.111,            false,             false,            false,            false,            TD,            200,            1.000,            -1
knapPI_1_200_1000_1,             11238,             11238,             0.071,            false,             false,            false,            false,            TD,            200,            0.000,            11238
knapPI_2_100_1000_1,             1514,             1514,             0.024,            false,             false,            false,            false,            TD,            200,            0.000,            1514
knapPI_2_500_1000_1,             -9223372036854775808,             84257,             0.469,            false,             false,            false,            false,            TD,            200,            1.000,            -1
f2_l-d_kp_20_878,             1024,             1024,             0.005,            false,             false,            false,            false,            TD,            200,            0.000,            1024
knapPI_3_500_1000_1,             1098,             7778,             3.003,            false,             false,            true,            false,            TD,            200,            0.859,            1098
knapPI_2_1000_1000_1,             -9223372036854775808,             20870,             7.354,            false,             false,            true,            false,            TD,            200,            1.000,            -1
f3_l-d_kp_4_20,             35,             35,             0.000,            false,             false,            true,            false,            TD,            200,            0.000,            35
f8_l-d_kp_23_10000,             5179,             9767,             0.071,            false,             false,            true,            false,            TD,            200,            0.470,            5179
knapPI_1_500_1000_1,             -9223372036854775808,             32277,             3.391,            false,             false,            true,            false,            TD,            200,            1.000,            -1
knapPI_3_100_1000_1,             1207,             2397,             0.294,            false,             false,            true,            false,            TD,            200,            0.496,            1207
f10_l-d_kp_20_879,             1025,             1025,             0.004,            false,             false,            true,            false,            TD,            200,            0.000,            1025
f7_l-d_kp_7_50,             107,             107,             0.000,            false,             false,            true,            false,            TD,            200,            0.000,            107
knapPI_2_200_1000_1,             1634,             1634,             0.127,            false,             false,            true,            false,            TD,            200,            0.000,            1634
knapPI_1_1000_1000_1,             -9223372036854775808,             92563,             8.715,            false,             false,            true,            false,            TD,            200,            1.000,            -1
f9_l-d_kp_5_80,             130,             130,             0.000,            false,             false,            true,            false,            TD,            200,            0.000,            130
knapPI_1_100_1000_1,             9147,             9147,             0.018,            false,             false,            true,            false,            TD,            200,            0.000,            9147
f6_l-d_kp_10_60,             52,             52,             0.001,            false,             false,            true,            false,            TD,            200,            0.000,            52
f1_l-d_kp_10_269,             295,             295,             0.001,            false,             false,            true,            false,            TD,            200,            0.000,            295
knapPI_3_1000_1000_1,             1098,             18261,             6.882,            false,             false,            true,            false,            TD,            200,            0.940,            1098
f4_l-d_kp_4_11,             23,             23,             0.000,            false,             false,            true,            false,            TD,            200,            0.000,            23
knapPI_3_200_1000_1,             1239,             2709,             0.694,            false,             false,            true,            false,            TD,            200,            0.543,            1239
knapPI_1_200_1000_1,             11238,             11238,             0.070,            false,             false,            true,            false,            TD,            200,            0.000,            11238
knapPI_2_100_1000_1,             1514,             1514,             0.025,            false,             false,            true,            false,            TD,            200,            0.000,            1514
knapPI_2_500_1000_1,             -9223372036854775808,             6031,             3.270,            false,             false,            true,            false,            TD,            200,            1.000,            -1
f2_l-d_kp_20_878,             1024,             1024,             0.004,            false,             false,            true,            false,            TD,            200,            0.000,            1024
knapPI_3_500_1000_1,             7117,             7117,             0.212,            false,             false,            false,            false,            BB,            0,            0.000,            7117
knapPI_2_1000_1000_1,             9052,             9052,             1.753,            false,             false,            false,            false,            BB,            0,            0.000,            9052
knapPI_2_2000_1000_1,             18051,             18051,             13.015,            false,             false,            false,            false,            BB,            0,            0.000,            18051
f3_l-d_kp_4_20,             35,             35,             0.000,            false,             false,            false,            false,            BB,            0,            0.000,            35
f8_l-d_kp_23_10000,             9767,             9767,             0.020,            false,             false,            false,            false,            BB,            0,            0.000,            9767
knapPI_1_500_1000_1,             28857,             28857,             0.321,            false,             false,            false,            false,            BB,            0,            0.000,            28857
knapPI_3_5000_1000_1,             -9223372036854775808,             9223372036854775807,             30.007,            true,             false,            false,            false,            BB,            0,            1.000,            -1
knapPI_1_2000_1000_1,             110625,             110625,             12.532,            false,             false,            false,            false,            BB,            0,            0.000,            110625
knapPI_3_100_1000_1,             2397,             2397,             0.004,            false,             false,            false,            false,            BB,            0,            0.000,            2397
f10_l-d_kp_20_879,             1025,             1025,             0.001,            false,             false,            false,            false,            BB,            0,            0.000,            1025
f7_l-d_kp_7_50,             107,             107,             0.000,            false,             false,            false,            false,            BB,            0,            0.000,            107
knapPI_2_200_1000_1,             1634,             1634,             0.019,            false,             false,            false,            false,            BB,            0,            0.000,            1634
knapPI_1_1000_1000_1,             54503,             54503,             1.773,            false,             false,            false,            false,            BB,            0,            0.000,            54503
knapPI_3_2000_1000_1,             28919,             28919,             10.931,            false,             false,            false,            false,            BB,            0,            0.000,            28919
f9_l-d_kp_5_80,             130,             130,             0.000,            false,             false,            false,            false,            BB,            0,            0.000,            130
knapPI_1_100_1000_1,             9147,             9147,             0.003,            false,             false,            false,            false,            BB,            0,            0.000,            9147
f6_l-d_kp_10_60,             52,             52,             0.000,            false,             false,            false,            false,            BB,            0,            0.000,            52
knapPI_1_5000_1000_1,             -9223372036854775808,             9223372036854775807,             30.004,            true,             false,            false,            false,            BB,            0,            1.000,            -1
knapPI_2_5000_1000_1,             -9223372036854775808,             9223372036854775807,             30.010,            true,             false,            false,            false,            BB,            0,            1.000,            -1
f1_l-d_kp_10_269,             295,             295,             0.000,            false,             false,            false,            false,            BB,            0,            0.000,            295
knapPI_3_1000_1000_1,             14390,             14390,             1.354,            false,             false,            false,            false,            BB,            0,            0.000,            14390
f4_l-d_kp_4_11,             23,             23,             0.000,            false,             false,            false,            false,            BB,            0,            0.000,            23
knapPI_3_200_1000_1,             2697,             2697,             0.023,            false,             false,            false,            false,            BB,            0,            0.000,            2697
knapPI_1_200_1000_1,             11238,             11238,             0.008,            false,             false,            false,            false,            BB,            0,            0.000,            11238
knapPI_2_100_1000_1,             1514,             1514,             0.004,            false,             false,            false,            false,            BB,            0,            0.000,            1514
knapPI_2_500_1000_1,             4566,             4566,             0.283,            false,             false,            false,            false,            BB,            0,            0.000,            4566
f2_l-d_kp_20_878,             1024,             1024,             0.000,            false,             false,            false,            false,            BB,            0,            0.000,            1024
